"","mark","family.group","functional.group","family.cluster","no.subfamilies.FG","subfamily.count_200bp.FG","intersect.count_200bp.FG","uniqueID.FG","pvalue","mean.value","sd.value","log2FC","perC"
"25830","ZNF439","G6","PG9","LTR7",10,1565,0,"ZNF439 G6 PG9 LTR7",2,0.02,0.14070529413629,-0.028569152196771,0
"25831","ZNF439","G8","PG1","LTR13",3,152,0,"ZNF439 G8 PG1 LTR13",2,0.01,0.1,-0.0143552929770701,0
"25832","ZNF439","G8","PG2","LTR13",5,106,0,"ZNF439 G8 PG2 LTR13",2,0,0,0,0
"25833","ZNF439","G8","PG3","LTR13",9,360,0,"ZNF439 G8 PG3 LTR13",2,0.02,0.14070529413629,-0.028569152196771,0
"25834","ZNF439","G9","PG1","LTR23",2,332,0,"ZNF439 G9 PG1 LTR23",2,0,0,0,0
"25835","ZNF439","G9","PG2","LTR23",1,353,0,"ZNF439 G9 PG2 LTR23",2,0,0,0,0
"25836","ZNF439","G9","PG3","LTR23",3,80,0,"ZNF439 G9 PG3 LTR23",2,0,0,0,0
"25837","ZNF439","G9","PG4","LTR23",1,31,0,"ZNF439 G9 PG4 LTR23",2,0,0,0,0
"25838","ZNF439","G9","PG5","LTR23",1,58,0,"ZNF439 G9 PG5 LTR23",2,0,0,0,0
"25839","ZNF439","G9","PG6","LTR23",2,199,0,"ZNF439 G9 PG6 LTR23",2,0,0,0,0
"25840","ZNF439",NA,NA,NA,72,1848,0,"ZNF439 NA NA NA",2,0,0,0,0
"25841","ZNF44","G1","PG1","MER9a",1,28,0,"ZNF44 G1 PG1 MER9a",2,0.02,0.14070529413629,-0.028569152196771,0
"25842","ZNF44","G1","PG2","MER9a",7,516,1,"ZNF44 G1 PG2 MER9a",0.46,0.25,0.479372485441102,0.678071905112638,0.00193798449612403
"25843","ZNF44","G1","PG3","MER9a",6,601,0,"ZNF44 G1 PG3 MER9a",2,0.24,0.452155332208352,-0.31034012061215,0
"25844","ZNF44","G10","PG1","LTR14",2,85,0,"ZNF44 G10 PG1 LTR14",2,0.02,0.14070529413629,-0.028569152196771,0
"25845","ZNF44","G10","PG2","LTR14",2,120,0,"ZNF44 G10 PG2 LTR14",2,0.04,0.196946385566932,-0.0565835283663676,0
"25846","ZNF44","G11","PG1","LTR14A",3,34,0,"ZNF44 G11 PG1 LTR14A",2,0.02,0.14070529413629,-0.028569152196771,0
"25847","ZNF44","G11","PG2","LTR14A",6,258,2,"ZNF44 G11 PG2 LTR14A",0,0.12,0.326598632371091,1.42146376843828,0.00775193798449612
"25848","ZNF44","G11","PG3","LTR14A",2,89,0,"ZNF44 G11 PG3 LTR14A",2,0.03,0.171446607997765,-0.0426443374084937,0
"25849","ZNF44","G12","PG1","LTR17",4,237,1,"ZNF44 G12 PG1 LTR17",0.2,0.1,0.301511344577763,0.862496476250065,0.00421940928270042
"25850","ZNF44","G12","PG2","LTR17",2,76,0,"ZNF44 G12 PG2 LTR17",2,0.07,0.256432399976243,-0.0976107966264223,0
"25851","ZNF44","G12","PG3","LTR17",7,448,0,"ZNF44 G12 PG3 LTR17",2,0.13,0.366666666666666,-0.176322772640463,0
"25852","ZNF44","G13","PG1","LTR22",3,137,0,"ZNF44 G13 PG1 LTR22",2,0.03,0.171446607997765,-0.0426443374084937,0
"25853","ZNF44","G13","PG2","LTR22",2,25,0,"ZNF44 G13 PG2 LTR22",2,0,0,0,0
"25854","ZNF44","G13","PG3","LTR22",7,182,0,"ZNF44 G13 PG3 LTR22",2,0.04,0.196946385566932,-0.0565835283663676,0
"25855","ZNF44","G13","PG4","LTR22",12,170,0,"ZNF44 G13 PG4 LTR22",2,0.03,0.171446607997765,-0.0426443374084937,0
"25856","ZNF44","G13","PG5","LTR22",1,88,0,"ZNF44 G13 PG5 LTR22",2,0.02,0.14070529413629,-0.028569152196771,0
"25857","ZNF44","G13","PG6","LTR22",7,142,0,"ZNF44 G13 PG6 LTR22",2,0.03,0.171446607997765,-0.0426443374084937,0
"25858","ZNF44","G14","PG1","LTR15",1,30,0,"ZNF44 G14 PG1 LTR15",2,0.03,0.171446607997765,-0.0426443374084937,0
"25859","ZNF44","G14","PG2","LTR15",2,31,0,"ZNF44 G14 PG2 LTR15",2,0.05,0.219042913557591,-0.070389327891398,0
"25860","ZNF44","G14","PG3","LTR15",2,31,0,"ZNF44 G14 PG3 LTR15",2,0.01,0.1,-0.0143552929770701,0
"25861","ZNF44","G14","PG4","LTR15",4,206,0,"ZNF44 G14 PG4 LTR15",2,0.05,0.261116483933547,-0.070389327891398,0
