Order,Combination,ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU,rank,rooted_incstance_cluster,is_kept,Combination,final_tree
404,hg19_G4_v1,13,-3479.25712,19.07474603,0,0,0,1.45E-06,2.72E-77,45,-,0,LTR2s,
405,hg19_G5_v1,1,-8240.757794,0,0.019,0.595,1,0.037638335,0.817348569,1,-,1,MER11s,
406,hg19_G5_v1,124,-8240.782397,0.024602753,0.023,0.405,0.975,0.037971783,0.683258126,2,-,1,MER11s,
407,hg19_G5_v1,123,-8240.782414,0.02461969,0.062,0.405,0.975,0.037970628,0.679234853,3,-,1,MER11s,
408,hg19_G5_v1,2,-8240.883529,0.125734803,0.04,0.42,0.981,0.03350412,0.778249542,4,-,1,MER11s,
409,hg19_G5_v1,121,-8240.889925,0.132131155,0.063,0.401,0.954,0.035876345,0.555807105,5,-,1,MER11s,
410,hg19_G5_v1,3,-8240.923627,0.165833309,0.027,0.456,0.994,0.029460746,0.839407367,6,-,1,MER11s,
411,hg19_G5_v1,4,-8240.956725,0.198930859,0.032,0.444,0.986,0.031176338,0.727264929,7,-,1,MER11s,
412,hg19_G5_v1,119,-8240.961061,0.20326711,0.059,0.442,0.985,0.031045905,0.731570537,8,-,1,MER11s,
413,hg19_G5_v1,120,-8241.144141,0.386346541,0.049,0.359,0.943,0.028376626,0.387617765,9,-,0,MER11s,
414,hg19_G5_v1,5,-8241.555548,0.797754325,0.008,0.289,0.953,0.01664226,0.283640852,10,-,0,MER11s,
415,hg19_G5_v1,118,-8241.559873,0.802078907,0.023,0.288,0.953,0.016570183,0.280786514,11,-,0,MER11s,
416,hg19_G5_v1,43,-8241.616555,0.858760519,0.015,0.372,0.883,0.02392929,0.635793361,12,-,1,MER11s,kept3
417,hg19_G5_v1,15,-8241.617603,0.859809025,0.032,0.373,0.881,0.024172803,0.628008768,13,-,1,MER11s,kept2
418,hg19_G5_v1,16,-8241.617827,0.860032789,0.035,0.373,0.881,0.024164292,0.629208779,14,-,1,MER11s,kept4
419,hg19_G5_v1,44,-8242.031861,1.274066619,0.016,0.304,0.826,0.014323133,0.228043712,15,-,0,MER11s,
420,hg19_G5_v1,14,-8242.034358,1.276564032,0.007,0.307,0.83,0.014068281,0.242924679,16,-,0,MER11s,
421,hg19_G5_v1,45,-8242.086884,1.329090425,0.005,0.296,0.818,0.013662944,0.111850343,17,-,0,MER11s,
422,hg19_G5_v1,46,-8242.086902,1.329107522,0.016,0.296,0.818,0.013660745,0.111208429,18,-,0,MER11s,
423,hg19_G5_v1,52,-8242.094555,1.336760825,0.022,0.194,0.863,0.012534192,0.242605817,19,-,0,MER11s,
424,hg19_G5_v1,17,-8242.243544,1.485749763,0.007,0.286,0.795,0.013186451,0.241099819,20,-,0,MER11s,
425,hg19_G5_v1,18,-8242.243692,1.485897973,0.01,0.286,0.795,0.013182174,0.242012307,21,-,0,MER11s,
426,hg19_G5_v1,39,-8242.243771,1.485977123,0.015,0.286,0.795,0.013182752,0.241386897,22,-,0,MER11s,
427,hg19_G5_v1,28,-8242.443954,1.686159556,0.107,0.296,0.683,0.032964034,0.36364943,23,-,0,MER11s,kept
428,hg19_G5_v1,40,-8242.457232,1.699438246,0.002,0.263,0.754,0.010535306,0.096358554,24,-,0,MER11s,
429,hg19_G5_v1,42,-8242.543722,1.785927626,0.005,0.249,0.739,0.009601865,0.005012757,25,-,0,MER11s,
430,hg19_G5_v1,41,-8242.543878,1.786083621,0.005,0.249,0.739,0.009599914,0.004747055,26,-,0,MER11s,
